problem,method,final_mean,final_ratio,min_mean,min_ratio,is_final_best
low_frequency,Standard Muon,0.060343153029680255,10.870398958402083,0.048936746828258035,18.58351895553312,False
low_frequency,Jordan Muon,0.007645932957530022,1.3773615975397584,0.004172318812925369,1.584420109097923,False
low_frequency,FastNS Muon,0.009588731452822685,1.7273432222856009,0.002633341238833964,1.0,False
low_frequency,Adaptive Dense Muon,0.005551144282799214,1.0,0.0026417932589538396,1.0032096182580645,True
low_frequency,Adam,0.0610911687836051,11.005148789395063,0.05149621125310659,19.555464553431353,False
low_frequency,AdamW,0.06122038196772337,11.028425645037,0.051622549816966054,19.60344107922161,False
medium_fourier,Standard Muon,0.21200858801603317,4.583982205193289,0.18597501069307326,4.88208435326747,False
medium_fourier,Jordan Muon,0.05510275606065988,1.191414251672057,0.04731275010854006,1.2420208293261863,False
medium_fourier,FastNS Muon,0.046249871514737605,1.0,0.03809336284175515,1.0,True
medium_fourier,Adaptive Dense Muon,0.046249871514737605,1.0,0.03809336284175515,1.0,True
medium_fourier,Adam,0.2994127795100212,6.473807811868467,0.25540170893073083,6.704624897300435,False
medium_fourier,AdamW,0.29947772324085237,6.475212004544126,0.25560434684157374,6.7099444043149425,False
high_frequency,Standard Muon,0.24614324867725373,1.1387392115640533,0.20302435830235482,1.0970528984755676,False
high_frequency,Jordan Muon,0.21615418717265128,1.0,0.18506341725587844,1.0,True
high_frequency,FastNS Muon,0.2202137790620327,1.0187810004630578,0.18708445653319358,1.0109207930302115,False
high_frequency,Adaptive Dense Muon,0.2202137790620327,1.0187810004630578,0.18708445653319358,1.0109207930302115,False
high_frequency,Adam,0.2476674847304821,1.145790826307981,0.20571651980280875,1.111600136067812,False
high_frequency,AdamW,0.2477064087986946,1.1459709017842956,0.20572219267487526,1.1116307897331914,False
chirp_quadratic,Standard Muon,0.5031177327036858,1.1741600631668596,0.4323784276843071,1.1490490712797254,False
chirp_quadratic,Jordan Muon,0.42849160730838776,1.0,0.37629239559173583,1.0,True
chirp_quadratic,FastNS Muon,0.45347215980291367,1.0582988139521419,0.39533050209283827,1.050593917719661,False
chirp_quadratic,Adaptive Dense Muon,0.45347215980291367,1.0582988139521419,0.39533050209283827,1.050593917719661,False
chirp_quadratic,Adam,0.5036322176456451,1.1753607516591995,0.43311135172843934,1.1509968226898482,False
chirp_quadratic,AdamW,0.5036264836788178,1.1753473699109236,0.4331053212285042,1.1509807965888539,False
gaussian_bumps,Standard Muon,0.03339616898447275,8.828053689032618,0.026989113166928293,14.991038839927354,False
gaussian_bumps,Jordan Muon,0.0046595983789302405,1.2317336362039295,0.0030837680445984007,1.7128716399080888,False
gaussian_bumps,FastNS Muon,0.005567949509713799,1.4718501763609486,0.001800349759287201,1.0,False
gaussian_bumps,Adaptive Dense Muon,0.0037829594337381424,1.0,0.0018108631746144965,1.0058396515860664,True
gaussian_bumps,Adam,0.12741959393024443,33.68251660164761,0.09402475282549858,52.22582575439402,False
gaussian_bumps,AdamW,0.1276158694177866,33.73440071274637,0.09414163120090961,52.290745570562024,False
runge_rational,Standard Muon,0.01257621548138559,1.119304129239178,0.01079949433915317,1.100707473118041,False
runge_rational,Jordan Muon,0.011813677288591862,1.0514369597270217,0.010210955562070013,1.0407223469805535,False
runge_rational,FastNS Muon,0.012526762764900922,1.1149027550860942,0.010278284456580878,1.0475846513642137,False
runge_rational,Adaptive Dense Muon,0.01240453040227294,1.1040238711787165,0.01025600847788155,1.0453142361525984,False
runge_rational,Adam,0.011235744738951326,1.0,0.009811411844566464,1.0,True
runge_rational,AdamW,0.01123714349232614,1.000124491380617,0.00981301893480122,1.0001637980608924,False
cusp_abs,Standard Muon,0.03238730179145932,1.065302282106742,0.027398690953850745,1.0398359783953373,False
cusp_abs,Jordan Muon,0.030401982925832273,1.0,0.02640413185581565,1.0020904403140019,True
cusp_abs,FastNS Muon,0.03059305138885975,1.0062847368704075,0.026349050737917424,1.0,False
cusp_abs,Adaptive Dense Muon,0.03059305138885975,1.0062847368704075,0.026349050737917424,1.0,False
cusp_abs,Adam,0.032218840532004835,1.059761154744574,0.027486213855445384,1.0431576503016684,False
cusp_abs,AdamW,0.032232992071658376,1.0602266355550878,0.027489973418414592,1.0433003333533883,False
multiscale_mix,Standard Muon,0.04344181790947914,1.1843472002796853,0.036945715360343453,1.187950863268167,False
multiscale_mix,Jordan Muon,0.03667996842414141,1.0,0.03110037334263325,1.0,True
multiscale_mix,FastNS Muon,0.036933251470327375,1.0069052144008734,0.03126287013292313,1.0052249144568026,False
multiscale_mix,Adaptive Dense Muon,0.03709346111863852,1.0112729839272425,0.03126287013292313,1.0052249144568026,False
multiscale_mix,Adam,0.04815770480781793,1.312915656059352,0.042098247818648814,1.3536251592497566,False
multiscale_mix,AdamW,0.048267950490117076,1.315921266124888,0.042181318439543244,1.356296208242617,False
