problem,method,slug,init,seed,final_loss,min_loss
low_frequency,Jordan Muon,jordan_muon,0,987,0.0043145837262272835,0.003782068844884634
low_frequency,Jordan Muon,jordan_muon,1,988,0.005889044608920813,0.004639643244445324
low_frequency,Jordan Muon,jordan_muon,2,989,0.013324826024472713,0.004409416578710079
low_frequency,FastNS Muon,fastns_muon,0,1087,0.003149723168462515,0.002290391130372882
low_frequency,FastNS Muon,fastns_muon,1,1088,0.013460326008498669,0.0018518227152526379
low_frequency,FastNS Muon,fastns_muon,2,1089,0.0217570997774601,0.0028805886395275593
low_frequency,Adaptive Dense Muon,adaptive_dense_muon,0,1187,0.002625709865242243,0.002625709865242243
low_frequency,Adaptive Dense Muon,adaptive_dense_muon,1,1188,0.008369785733520985,0.001872148597612977
low_frequency,Adaptive Dense Muon,adaptive_dense_muon,2,1189,0.011990495026111603,0.0025761027354747057
medium_fourier,Jordan Muon,jordan_muon,0,10987,0.0751507505774498,0.057659849524497986
medium_fourier,Jordan Muon,jordan_muon,1,10988,0.06338448822498322,0.05251245200634003
medium_fourier,Jordan Muon,jordan_muon,2,10989,0.06392073631286621,0.05283386632800102
medium_fourier,FastNS Muon,fastns_muon,0,11087,0.075348861515522,0.051913801580667496
medium_fourier,FastNS Muon,fastns_muon,1,11088,0.04102155566215515,0.037503696978092194
medium_fourier,FastNS Muon,fastns_muon,2,11089,0.04026026278734207,0.04026026278734207
medium_fourier,Adaptive Dense Muon,adaptive_dense_muon,0,11187,0.05410654842853546,0.04119027033448219
medium_fourier,Adaptive Dense Muon,adaptive_dense_muon,1,11188,0.05102040618658066,0.03464306518435478
medium_fourier,Adaptive Dense Muon,adaptive_dense_muon,2,11189,0.049387603998184204,0.037427738308906555
high_frequency,Jordan Muon,jordan_muon,0,20987,0.20920468866825104,0.1867324560880661
high_frequency,Jordan Muon,jordan_muon,1,20988,0.2451051026582718,0.1961907148361206
high_frequency,Jordan Muon,jordan_muon,2,20989,0.22556470334529877,0.1902848482131958
high_frequency,FastNS Muon,fastns_muon,0,21087,0.22342796623706818,0.19790612161159515
high_frequency,FastNS Muon,fastns_muon,1,21088,0.21670836210250854,0.18665817379951477
high_frequency,FastNS Muon,fastns_muon,2,21089,0.20969881117343903,0.17211757600307465
high_frequency,Adaptive Dense Muon,adaptive_dense_muon,0,21187,0.22547489404678345,0.1827375590801239
high_frequency,Adaptive Dense Muon,adaptive_dense_muon,1,21188,0.20678959786891937,0.17562586069107056
high_frequency,Adaptive Dense Muon,adaptive_dense_muon,2,21189,0.2078981101512909,0.17916560173034668
chirp_quadratic,Jordan Muon,jordan_muon,0,30987,0.5207863450050354,0.4321982264518738
chirp_quadratic,Jordan Muon,jordan_muon,1,30988,0.5163522362709045,0.43241214752197266
chirp_quadratic,Jordan Muon,jordan_muon,2,30989,0.35821348428726196,0.314893513917923
chirp_quadratic,FastNS Muon,fastns_muon,0,31087,0.4289734363555908,0.3223910629749298
chirp_quadratic,FastNS Muon,fastns_muon,1,31088,0.45347219705581665,0.4136056900024414
chirp_quadratic,FastNS Muon,fastns_muon,2,31089,0.31968069076538086,0.30650728940963745
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,0,31187,0.5132151246070862,0.43426191806793213
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,1,31188,0.504837155342102,0.43664753437042236
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,2,31189,0.3605491518974304,0.31018292903900146
gaussian_bumps,Jordan Muon,jordan_muon,0,40987,0.0036529963836073875,0.0023818511981517076
gaussian_bumps,Jordan Muon,jordan_muon,1,40988,0.003792961360886693,0.0035902559757232666
gaussian_bumps,Jordan Muon,jordan_muon,2,40989,0.0031877197325229645,0.002015247941017151
gaussian_bumps,FastNS Muon,fastns_muon,0,41087,0.003909382503479719,0.003909382503479719
gaussian_bumps,FastNS Muon,fastns_muon,1,41088,0.0074776713736355305,0.0017584875458851457
gaussian_bumps,FastNS Muon,fastns_muon,2,41089,0.004683660808950663,0.0017037070356309414
gaussian_bumps,Adaptive Dense Muon,adaptive_dense_muon,0,41187,0.00889013335108757,0.002781081013381481
gaussian_bumps,Adaptive Dense Muon,adaptive_dense_muon,1,41188,0.009675424546003342,0.0019626691937446594
gaussian_bumps,Adaptive Dense Muon,adaptive_dense_muon,2,41189,0.010990678332746029,0.001900902483612299
runge_rational,Jordan Muon,jordan_muon,0,50987,0.011776137165725231,0.010526436381042004
runge_rational,Jordan Muon,jordan_muon,1,50988,0.010860812850296497,0.010651645250618458
runge_rational,Jordan Muon,jordan_muon,2,50989,0.011539534665644169,0.01057723443955183
runge_rational,FastNS Muon,fastns_muon,0,51087,0.011076690629124641,0.010073603130877018
runge_rational,FastNS Muon,fastns_muon,1,51088,0.011414306238293648,0.010525130666792393
runge_rational,FastNS Muon,fastns_muon,2,51089,0.012355857528746128,0.010790937580168247
runge_rational,Adaptive Dense Muon,adaptive_dense_muon,0,51187,0.011060700751841068,0.010369398631155491
runge_rational,Adaptive Dense Muon,adaptive_dense_muon,1,51188,0.012052752077579498,0.010701898485422134
runge_rational,Adaptive Dense Muon,adaptive_dense_muon,2,51189,0.012033852748572826,0.01047004945576191
cusp_abs,Jordan Muon,jordan_muon,0,60987,0.029936017468571663,0.026516133919358253
cusp_abs,Jordan Muon,jordan_muon,1,60988,0.030487477779388428,0.025434695184230804
cusp_abs,Jordan Muon,jordan_muon,2,60989,0.03193230181932449,0.02672186866402626
cusp_abs,FastNS Muon,fastns_muon,0,61087,0.028145454823970795,0.026612887158989906
cusp_abs,FastNS Muon,fastns_muon,1,61088,0.031331099569797516,0.026854543015360832
cusp_abs,FastNS Muon,fastns_muon,2,61089,0.03115726448595524,0.02663935162127018
cusp_abs,Adaptive Dense Muon,adaptive_dense_muon,0,61187,0.031594470143318176,0.026651984080672264
cusp_abs,Adaptive Dense Muon,adaptive_dense_muon,1,61188,0.033068206161260605,0.026624470949172974
cusp_abs,Adaptive Dense Muon,adaptive_dense_muon,2,61189,0.026986436918377876,0.02538219466805458
multiscale_mix,Jordan Muon,jordan_muon,0,70987,0.03971750661730766,0.03172486275434494
multiscale_mix,Jordan Muon,jordan_muon,1,70988,0.040161047130823135,0.03253338485956192
multiscale_mix,Jordan Muon,jordan_muon,2,70989,0.0414997860789299,0.03124326467514038
multiscale_mix,FastNS Muon,fastns_muon,0,71087,0.04218639060854912,0.03180026635527611
multiscale_mix,FastNS Muon,fastns_muon,1,71088,0.038777679204940796,0.031623564660549164
multiscale_mix,FastNS Muon,fastns_muon,2,71089,0.040425002574920654,0.033587053418159485
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,0,71187,0.042061254382133484,0.032340019941329956
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,1,71188,0.03826392814517021,0.030860060825943947
multiscale_mix,Adaptive Dense Muon,adaptive_dense_muon,2,71189,0.03633613884449005,0.03330548107624054
